Name,Symptoms
Dizziness (Lightheadedness)|Pusing (Kepala terasa ringan),"['A false sense of motion or spinning (vertigo)|Rasa salah gerak atau berputar (vertigo)', 'Lightheadedness or feeling faint|Kepala terasa ringan atau merasa lemas', 'Unsteadiness or a loss of balance|Goyah atau kehilangan keseimbangan']"
Down's syndrome|Sindrom Down,"['Decreased or poor muscle tone|Tonus otot menurun atau buruk', 'Flattened facial profile and nose|Profil wajah dan hidung yang rata', 'Small head, ears, and mouth|Kepala, telinga, dan mulut kecil']"
Dry mouth|Mulut kering,"['Dryness or a feeling of stickiness in your mouth|Kekeringan atau rasa lengket di mulut Anda', 'Saliva that seems thick and stringy|Air liur yang tampak kental dan berserabut', 'Bad breath|Bau mulut', 'Difficulty chewing, speaking and swallowing|Kesulitan mengunyah, berbicara dan menelan', 'Dry or sore throat and hoarseness|Tenggorokan kering atau sakit dan suara serak', 'Dry or grooved tongue|Lidah kering atau beralur', 'A changed sense of taste|Indera perasa yang berubah', 'Problems wearing dentures|Masalah memakai gigi palsu']"
Dysphagia (swallowing problems)|Disfagia (masalah menelan),"['Having pain while swallowing (odynophagia)|Mengalami nyeri saat menelan (odynophagia)', 'Being unable to swallow|Tidak bisa menelan', 'Drooling|Ngiler', 'Being hoarse|Menjadi parau', 'Bringing food back up (regurgitation)|Membawa makanan kembali (regurgitasi)', 'Having frequent heartburn|Sering mengalami mulas', 'Frequent choking on food|Sering tersedak makanan', 'Pain when swallowing|Nyeri saat menelan']"
Dystonia|Dystonia,"['Eyelids |Kelopak mata', 'Jaw or tongue (oromandibular dystonia) |Rahang atau lidah (oromandibular dystonia)', 'Voice box and vocal cords (spasmodic dystonia) |Kotak suara dan pita suara (distonia spasmodik)', 'Hand and forearm|Tangan dan lengan bawah']"
Earache|Sakit telinga,"['A feeling of fullness in the ear|Perasaan kenyang di telinga', 'Nausea|Mual', 'Muffled hearing|Pendengaran teredam', 'Ear drainage|Drainase telinga']"
Earwax build-up|Penumpukan kotoran telinga,"['Hearing loss|Kehilangan pendengaran', 'Earache|Sakit telinga', 'Sense of ear fullness|Rasa telinga terasa penuh', 'Itching in the ear|Gatal di telinga', 'Dizziness|Pusing', 'Ringing in the ears|Telinga berdenging', 'Cough|Batuk', 'earache|sakit telinga', 'hearing loss|gangguan pendengaran', 'tinnitus (hearing sounds from inside your body)|tinnitus (mendengar suara dari dalam tubuh Anda)', 'itchiness in or around the ear|gatal di dalam atau di sekitar telinga', 'vertigo (a spinning sensation)|vertigo (a spinning sensation)', 'ear infections|infeksi telinga']"
Ebola virus disease|Ebola virus disease,"['Fever|Demam', 'Weakness and fatigue|Kelemahan dan kelelahan', 'Abdominal (stomach) pain|Sakit perut (perut)']"
Ectopic pregnancy|Kehamilan ektopik,['abnormal vaginal bleeding or cramping|perdarahan atau kram vagina abnormal']
Endometriosis|Endometriosis,"['Pain with intercourse |Nyeri saat berhubungan', 'Pain with bowel movements or urination |Nyeri saat buang air besar atau buang air kecil', 'Excessive bleeding |Pendarahan yang berlebihan', 'Infertility |Infertilitas', 'Other signs and symptoms|Tanda dan gejala lainnya']"
Epilepsy|Epilepsi,"['Temporary confusion|Kebingungan sementara', 'A staring spell|Mantra menatap', 'Loss of consciousness or awareness|Kehilangan kesadaran atau kesadaran', 'Psychic symptoms such as fear, anxiety or deja vu|Gejala psikis seperti ketakutan, kecemasan atau deja vu']"
Erectile dysfunction (impotence)|Disfungsi ereksi (impotensi),"['Trouble getting an erection|Kesulitan mendapatkan ereksi', 'Trouble keeping an erection|Kesulitan mempertahankan ereksi', 'Reduced sexual desire|Keinginan seksual berkurang']"
Ewing sarcoma|Sarkoma Ewing,"['Bone pain|Sakit tulang', 'Unexplained tiredness|Kelelahan yang tidak bisa dijelaskan', 'Fever with no known cause|Demam tanpa penyebab yang diketahui', 'Losing weight without trying|Menurunkan berat badan tanpa berusaha']"
Ewing sarcoma: Children|Sarkoma Ewing: Anak-anak,"['Swelling around the site of the tumor|Pembengkakan di sekitar lokasi tumor', 'A lump (mass)|Benjolan (massa)', 'A bone breaks for no known reason|Patah tulang tanpa alasan yang diketahui', 'Fever|Demam', 'Weight loss|Penurunan berat badan', 'Feeling tired|Merasa lelah']"
Eye cancer|Kanker mata,"['blurred vision|penglihatan kabur', ""a dark patch in your eye that's getting bigger|bercak gelap di mata Anda yang semakin membesar"", 'partial or total loss of vision|kehilangan penglihatan sebagian atau total', 'bulging of 1 eye|menonjol dari 1 mata', 'pain in or around your eye, although this is rare|nyeri di dalam atau di sekitar mata Anda, meskipun ini jarang terjadi']"
Febrile seizures|Kejang demam,['severe shaking or staring spells|mantra gemetar atau menatap yang parah']
Fever in children|Demam pada anak-anak,"['Sweating|Berkeringat', 'Chills and shivering|Menggigil dan menggigil', 'Headache|Sakit kepala', 'Muscle aches|Nyeri otot', 'Loss of appetite|Kehilangan selera makan', 'Irritability|Sifat lekas marah', 'Dehydration|Dehidrasi', 'General weakness|Kelemahan umum']"
Fibroids|Fibroid,"['Heavy menstrual bleeding|Pendarahan menstruasi yang berat', 'Menstrual periods lasting more than a week|Periode menstruasi berlangsung lebih dari seminggu', 'Pelvic pressure or pain|Tekanan atau nyeri panggul', 'Frequent urination|Sering buang air kecil', 'Difficulty emptying the bladder|Kesulitan mengosongkan kandung kemih', 'Constipation|Sembelit', 'Backache or leg pains|Sakit punggung atau kaki']"
Fibromyalgia|Fibromyalgia,"['Pain and tender points|Titik nyeri dan nyeri tekan', 'Fatigue|Kelelahan', 'Sleep problems|Masalah tidur', 'Anxiety or depression|Kecemasan atau depresi', 'Morning stiffness|Kekakuan pagi', 'Headaches|Sakit kepala']"
Flatulence|Perut kembung,"['passing wind often|sering melewati angin', 'smelly flatus|kentut bau', 'loud flatus|ledakan keras', 'abdominal distension and discomfort|perut kembung dan ketidaknyamanan', 'rumblings in the lower abdomen|gemuruh di perut bagian bawah', 'indigestion|gangguan pencernaan', 'constipation|sembelit']"
Flu|Flu,"['chest pressure|tekanan dada', 'head congestion|kemacetan kepala', 'headache|sakit kepala', 'nausea|mual', 'shortness of breath|sesak napas', 'sore throat|sakit tenggorokan', 'or swollen lymph nodes|atau pembengkakan kelenjar getah bening']"
Food poisoning|Keracunan makanan,['headache or weakness|sakit kepala atau kelemahan']
Fungal nail infection|Infeksi kuku jamur,"['Thickened|Menebal', 'Whitish to yellow-brown discoloration|Perubahan warna keputihan menjadi kuning kecokelatan', 'Brittle, crumbly or ragged|Rapuh, rapuh atau compang-camping', 'Distorted in shape|Bentuknya terdistorsi', 'Smelling slightly foul|Berbau sedikit', 'The nail may thicken and could be hard to trim|Kuku bisa menebal dan sulit dipotong', 'Your nail may become misshapen|Kuku Anda mungkin berubah bentuk']"
Gallbladder cancer|Kanker kandung empedu,"['Abdominal bloating|Perut kembung', 'Fever|Demam', 'Losing weight without trying|Menurunkan berat badan tanpa berusaha', 'Nausea|Mual']"
Gallstones|Batu empedu,"['Back pain between your shoulder blades|Nyeri punggung di antara tulang belikat Anda', 'Pain in your right shoulder|Sakit di bahu kanan Anda', 'Nausea or vomiting|Mual atau muntah']"
Ganglion cyst|Kista ganglion,['lump or pain in the affected area|benjolan atau nyeri di area yang terkena']
Gastroenteritis|Gastroenteritis,"['Abdominal cramps and pain|Kram dan nyeri perut', 'Nausea, vomiting or both|Mual, muntah atau keduanya', 'Occasional muscle aches or headache|Nyeri otot atau sakit kepala sesekali', 'Low-grade fever|Demam ringan', 'A fever above 101° Fahrenheit|Demam di atas 101 ° Fahrenheit', 'Blood or pus in your stool|Darah atau nanah di tinja Anda', 'Diarrhea that lasts more than one week|Diare yang berlangsung lebih dari satu minggu']"
Gastro-oesophageal reflux disease (GORD)|Penyakit refluks gastroesofagus (GORD),"['Chronic heartburn|Sakit maag kronis', 'Regurgitation|Regurgitasi', 'Chest pain or discomfort|Nyeri dada atau ketidaknyamanan', 'Chronic cough, sore throat, and/or hoarseness|Batuk kronis, sakit tenggorokan, dan / atau suara serak', 'Sleep disturbances and nighttime symptoms|Gangguan tidur dan gejala malam hari', 'Belching, gas, and bloating|Bersendawa, gas, dan kembung', 'Nausea|Mual', 'Intolerance of certain foods|Intoleransi makanan tertentu', 'oesophagitis (a sore, inflamed oesophagus)|esofagitis (esofagus yang sakit dan meradang)', 'bad breath|bau mulut', 'bloating and belching|kembung dan sendawa', 'feeling or being sick|merasa atau sakit']"
Genital herpes|Genital herpes,"['Ulcers |Bisul', 'Scabs|Keropeng', 'fever|demam', 'chills|panas dingin', 'headache|sakit kepala', 'feeling achy and tired|merasa pegal dan lelah']"
Genital warts|Kutil kelamin,"['Itching or discomfort in your genital area|Gatal atau ketidaknyamanan di area genital Anda', 'Bleeding with intercourse|Pendarahan saat berhubungan']"
Glandular fever|Demam kelenjar,"['Feeling tired|Merasa lelah', 'Muscle aches|Nyeri otot', 'Fever|Demam', 'Sore throat|Sakit tenggorokan', 'Swollen lymph nodes|Kelenjar getah bening membengkak', 'Headache|Sakit kepala', 'Flu-like symptoms |Gejala mirip flu', 'Malaise |Tidak nyaman', 'Swelling around eyes |Bengkak di sekitar mata', 'Spleen |Limpa', 'No symptoms|Tidak ada gejala']"
Gout|Encok,['physical deformity or redness|deformitas fisik atau kemerahan']
Gum disease|Penyakit gusi,"[""Bad breath that won't go away|Bau mulut yang tak kunjung hilang"", 'Red or swollen gums|Gusi merah atau bengkak', 'Tender or bleeding gums|Gusi lunak atau berdarah', 'Painful chewing|Mengunyah yang menyakitkan', 'Loose teeth|Gigi tanggal', 'Sensitive teeth|Gigi sensitif', 'Receding gums or longer appearing teeth|Gusi surut atau gigi yang tumbuh lebih lama']"
Haemorrhoids (piles)|Wasir (wasir),"['bright red blood after you poo|darah merah cerah setelah kamu buang air', 'an itchy anus|anus yang gatal', 'lumps around your anus|benjolan di sekitar anus Anda', 'pain around your anus|nyeri di sekitar anus Anda']"
Hairy cell leukaemia|Leukemia sel rambut,"['Weakness or feeling tired|Lemah atau merasa lelah', 'Fever or frequent infections|Demam atau sering terkena infeksi', 'Easy bruising or bleeding|Mudah memar atau berdarah', 'Shortness of breath|Sesak napas', 'Weight loss for no known reason|Penurunan berat badan tanpa alasan yang diketahui', 'Pain or a feeling of fullness below the ribs|Nyeri atau perasaan kenyang di bawah tulang rusuk']"
"Hand, foot and mouth disease|Penyakit tangan, kaki dan mulut","['Fever|Demam', 'Sore throat|Sakit tenggorokan', 'Feeling of being unwell (malaise)|Merasa tidak sehat (malaise)', 'Irritability in infants and toddlers|Iritabilitas pada bayi dan balita', 'Loss of appetite|Kehilangan selera makan']"
Hay fever|Ada demam,"['sneezing and coughing|bersin dan batuk', 'a runny or blocked nose|hidung meler atau tersumbat', 'itchy, red or watery eyes|mata gatal, merah atau berair', 'itchy throat, mouth, nose and ears|tenggorokan gatal, mulut, hidung dan telinga', 'loss of smell|kehilangan bau', 'pain around your temples and forehead|nyeri di sekitar pelipis dan dahi Anda', 'headache|sakit kepala', 'earache|sakit telinga']"
Head and neck cancer|Kanker kepala dan leher,"['A persistent sore throat|Sakit tenggorokan yang terus-menerus', 'Trouble swallowing (dysphagia)|Kesulitan menelan (disfagia)', 'Unexplained weight loss|Penurunan berat badan yang tidak bisa dijelaskan', 'Frequent coughing|Sering batuk', 'Change in voice or hoarseness|Perubahan suara atau serak', 'Ear pain or trouble hearing|Sakit telinga atau kesulitan mendengar', 'Headaches|Sakit kepala', 'a lump or thickening in the lips|benjolan atau penebalan di bibir', 'unusual bleeding or numbness in the mouth|perdarahan yang tidak biasa atau mati rasa di mulut', 'loose teeth for no clear reason|gigi tanggal tanpa alasan yang jelas', 'dentures that no longer fit|gigi palsu yang tidak lagi pas', 'difficulty moving the jaw|kesulitan menggerakkan rahang']"
Head lice and nits|Kutu rambut dan telur kutu,"['Tickling feeling from movement of hair|Rasa menggelitik dari gerakan rambut', 'Lice eggs (nits) on hair shafts |Telur kutu (nits) di batang rambut', 'Sores on the scalp, neck and shoulders|Luka di kulit kepala, leher dan bahu']"
Headaches|Sakit kepala,"['Sensitivity to light, noise or odors|Kepekaan terhadap cahaya, kebisingan, atau bau', 'Blurred vision|Penglihatan kabur', 'Nausea or vomiting, stomach upset, abdominal pain|Mual atau muntah, sakit perut, sakit perut', 'Loss of appetite|Kehilangan selera makan', 'Dull, aching head pain|Sakit kepala yang terasa nyeri dan tumpul']"
Hearing loss|Kehilangan pendengaran,"['Muffling of speech and other sounds|Meredam ucapan dan suara lainnya', 'Trouble hearing consonants|Kesulitan mendengar konsonan']"
Heart failure|Gagal jantung,"['Fatigue and weakness|Kelelahan dan kelemahan', 'Swelling (edema) in your legs, ankles and feet|Pembengkakan (edema) di tungkai, pergelangan kaki dan kaki Anda', 'Rapid or irregular heartbeat|Detak jantung cepat atau tidak teratur', 'Reduced ability to exercise|Berkurangnya kemampuan untuk berolahraga', 'Increased need to urinate at night|Meningkatnya kebutuhan buang air kecil di malam hari', 'Fluid and water retention |Retensi cairan dan air', 'Dizziness , fatigue, andweakness |Pusing, kelelahan, dan lemas', 'Rapid or irregular heartbeats|Detak jantung cepat atau tidak teratur']"
Hepatitis A|Hepatitis A,"['Fatigue|Kelelahan', 'Sudden nausea and vomiting|Mual dan muntah tiba-tiba', 'Clay-colored bowel movements|Buang air besar berwarna tanah liat', 'Loss of appetite|Kehilangan selera makan', 'Low-grade fever|Demam ringan', 'Dark urine|Urine berwarna gelap', 'Joint pain|Nyeri sendi']"
Hepatitis B|Hepatitis B,"['Abdominal pain|Sakit perut', 'Dark urine|Urine berwarna gelap', 'Fever|Demam', 'Joint pain|Nyeri sendi', 'Loss of appetite|Kehilangan selera makan', 'Nausea and vomiting|Mual dan muntah', 'Weakness and fatigue|Kelemahan dan kelelahan']"
Hepatitis C|Hepatitis C,"['Bleeding easily|Mudah berdarah', 'Bruising easily|Mudah memar', 'Fatigue|Kelelahan', 'Poor appetite|Nafsu makan buruk', 'Dark-colored urine|Urine berwarna gelap', 'Itchy skin|Kulit yang gatal', 'Fluid buildup in your abdomen (ascites)|Penumpukan cairan di perut Anda (asites)', 'Feeling very tired|Merasa sangat lelah', 'Sore muscles|Sore muscles', 'Joint pain|Nyeri sendi', 'Fever|Demam', 'Nausea or poor appetite|Mual atau nafsu makan buruk', 'Stomach pain|Sakit perut', 'Itchy skin|Kulit yang gatal', 'Dark urine|Urine berwarna gelap']"
Hiatus hernia|Hiatus hernia,"['Heartburn|Maag', 'Regurgitation of food or liquids into the mouth|Regurgitasi makanan atau cairan ke dalam mulut', 'Difficulty swallowing|Kesulitan menelan', 'Chest or abdominal pain|Sakit dada atau perut', 'Shortness of breath|Sesak napas']"
HIV|HIV,"['Fever|Demam', 'Chills|Panas dingin', 'Rash|Ruam', 'Night sweats|Keringat malam', 'Muscle aches|Nyeri otot', 'Sore throat|Sakit tenggorokan', 'Fatigue|Kelelahan', 'Swollen lymph nodes|Kelenjar getah bening membengkak']"
Hodgkin lymphoma|Limfoma hodgkin,"['Persistent fatigue|Kelelahan terus-menerus', 'Fever|Demam', 'Night sweats|Keringat malam', 'Unexplained weight loss|Penurunan berat badan yang tidak bisa dijelaskan', 'Severe itching|Gatal parah']"
Hodgkin lymphoma: Children|Limfoma Hodgkin: Anak-anak,"['Extreme fatigue|Kelelahan yang ekstrim', 'Loss of appetite|Kehilangan selera makan', 'Weight loss|Penurunan berat badan', 'Fever|Demam', 'Night sweats|Keringat malam', 'Itchy skin|Kulit yang gatal']"
Hodgkin lymphoma: Teenagers and young adults|Limfoma Hodgkin: Remaja dan dewasa muda,"['Poor appetite|Nafsu makan buruk', 'Weight loss|Penurunan berat badan', 'Night sweats|Keringat malam', 'Fever|Demam', 'Fatigue or sense of ill-feeling|Kelelahan atau perasaan tidak enak badan']"
Huntington's disease|Penyakit Huntington,"['Slow or abnormal eye movements|Gerakan mata lambat atau tidak normal', 'Impaired gait, posture and balance|Kiprah, postur, dan keseimbangan terganggu', 'Difficulty with speech or swallowing|Kesulitan berbicara atau menelan']"
Hyperglycaemia (high blood sugar)|Hiperglikemia (gula darah tinggi),"['Increased thirst|Meningkatnya rasa haus', 'Headaches|Sakit kepala', 'Trouble concentrating|Kesulitan berkonsentrasi', 'Blurred vision|Penglihatan kabur', 'Frequent peeing|Sering buang air kecil', 'Fatigue (weak, tired feeling)|Kelelahan (lemas, perasaan lelah)', 'Weight loss|Penurunan berat badan', 'Blood sugar more than 180 mg/dL|Gula darah lebih dari 180 mg / dL']"
Hypoglycaemia (low blood sugar)|Hipoglikemia (gula darah rendah),"['Feeling shaky|Merasa gemetar', 'Being nervous or anxious|Menjadi gugup atau cemas', 'Sweating, chills and clamminess|Berkeringat, menggigil, dan lembap', 'Irritability or impatience|Iritabilitas atau ketidaksabaran', 'Confusion|Kebingungan', 'Fast heartbeat|Detak jantung cepat', 'Feeling lightheaded or dizzy|Merasa pusing atau pusing', 'Hunger|Kelaparan', 'Visual disturbances, such as blurred vision|Gangguan penglihatan, seperti penglihatan kabur', 'Seizures|Kejang', 'Loss of consciousness|Hilang kesadaran']"
Idiopathic pulmonary fibrosis|Fibrosis paru idiopatik,"['shortness of breath|sesak napas', 'a persistent dry cough|batuk kering yang terus-menerus', 'tiredness|kelelahan', 'loss of appetite and weight loss|kehilangan nafsu makan dan penurunan berat badan', 'rounded and swollen fingertips (clubbed fingers)|ujung jari membulat dan bengkak (jari-jari dipukul)']"
Impetigo|Impetigo,['itching|gatal']
Indigestion|Gangguan pencernaan,"['Burning in the stomach or upper abdomen|Terbakar di perut atau perut bagian atas', 'Abdominal pain|Sakit perut', 'Bloating (full feeling)|Kembung (perasaan penuh)', 'Belching and gas|Bersendawa dan gas', 'Nausea and vomiting|Mual dan muntah', 'Acidic taste|Rasa asam', 'Growling stomach|Perut keroncongan']"
Ingrown toenail|Kuku tumbuh ke dalam,"['Redness around your toenail|Kemerahan di sekitar kuku kaki Anda', 'Swelling of your toe around the nail|Jari kaki bengkak di sekitar kuku', 'Infection of the tissue around your toenail|Infeksi jaringan di sekitar kuku kaki Anda']"
Inherited heart conditions|Kondisi jantung yang diwariskan,"['Chest pain|Nyeri dada', 'Dizziness|Pusing', 'Fainting|Pingsan', 'Fatigue or inability to exercise|Kelelahan atau ketidakmampuan untuk berolahraga', 'Shortness of breath|Sesak napas']"
Insomnia|Insomnia,"['Difficulty falling asleep at night|Kesulitan tidur di malam hari', 'Waking up during the night|Bangun di malam hari', 'Waking up too early|Bangun terlalu pagi', ""Not feeling well-rested after a night's sleep|Tidak merasa cukup istirahat setelah tidur malam"", 'Daytime tiredness or sleepiness|Kelelahan atau kantuk di siang hari', 'Irritability, depression or anxiety|Iritabilitas, depresi atau kecemasan', 'Increased errors or accidents|Meningkatnya kesalahan atau kecelakaan']"
Iron deficiency anaemia|Anemia defisiensi zat besi,"['Extreme fatigue|Kelelahan yang ekstrim', 'Weakness|Kelemahan', 'Pale skin|Kulit pucat', 'Chest pain, fast heartbeat or shortness of breath|Nyeri dada, detak jantung cepat atau sesak napas', 'Headache, dizziness or lightheadedness|Sakit kepala, pusing atau pusing', 'Cold hands and feet|Tangan dan kaki dingin', 'Inflammation or soreness of your tongue|Peradangan atau nyeri lidah Anda', 'Brittle nails|Kuku rapuh', 'Unusual Tiredness Share on Pinterest |Kelelahan yang Tidak Biasa Bagikan di Pinterest', 'Paleness |Kepucatan', 'Shortness of Breath |Sesak napas', 'Headaches and Dizziness |Sakit Kepala dan Pusing', 'Heart Palpitations |Palpitasi jantung', 'Dry and Damaged Hair and Skin |Rambut dan Kulit Kering dan Rusak', 'Swelling and Soreness of the Tongue and Mouth |Pembengkakan dan Nyeri pada Lidah dan Mulut', 'Restless Legs|Kaki Gelisah']"
Irritable bowel syndrome (IBS)|Sindrom iritasi usus besar (IBS),"['Constipation |Sembelit', 'Alternating Constipation and Diarrhea |Sembelit dan Diare Bergantian', 'Changes in Bowel Movements |Perubahan Pergerakan Usus', 'Gas and Bloating |Gas dan Kembung', 'Food Intolerance |Intoleransi Makanan', 'Fatigue and Difficulty Sleeping|Kelelahan dan Kesulitan Tidur']"
Irritable hip|Pinggul yang mudah tersinggung,"['pain in the knee or thigh|nyeri di lutut atau paha', 'restricted movement in one of the hip joints|gerakan terbatas di salah satu sendi pinggul']"
Itching|Gatal,"['Internal diseases |Penyakit dalam', 'Nerve disorders |Gangguan saraf', 'Psychiatric diseases |Penyakit kejiwaan', 'Irritation and allergic reactions |Iritasi dan reaksi alergi', 'Pregnancy|Kehamilan']"
Kaposi's sarcoma|Sarkoma Kaposi,"['Unexplained cough or chest pain|Batuk atau nyeri dada yang tidak dapat dijelaskan', 'Unexplained stomach or intestinal pain|Sakit perut atau usus yang tidak bisa dijelaskan']"
Kidney cancer|Kanker ginjal,"['Blood in the urine (hematuria)|Darah dalam urin (hematuria)', 'Low back pain on one side (not caused by injury)|Nyeri punggung bawah di satu sisi (bukan karena cedera)', 'A mass (lump) on the side or lower back|Massa (benjolan) di samping atau punggung bawah', 'Fatigue (tiredness)|Kelelahan (kelelahan)', 'Loss of appetite|Kehilangan selera makan', 'Weight loss not caused by dieting|Penurunan berat badan tidak disebabkan oleh diet']"
Kidney infection|Infeksi ginjal,"['Fever|Demam', 'Chills|Panas dingin', 'Back, side (flank) or groin pain|Nyeri punggung, samping (panggul) atau selangkangan', 'Abdominal pain|Sakit perut', 'Frequent urination|Sering buang air kecil', 'Strong, persistent urge to urinate|Dorongan yang kuat dan terus menerus untuk buang air kecil', 'Burning sensation or pain when urinating|Sensasi terbakar atau nyeri saat buang air kecil', 'Nausea and vomiting|Mual dan muntah', 'Blood or pus in your pee|Darah atau nanah di kencing Anda', 'Fever and chills|Demam dan menggigil', 'Loss of appetite|Kehilangan selera makan', 'Pain in your lower back, side, or groin|Nyeri di punggung bawah, samping, atau selangkangan', 'Upset stomach or vomiting|Sakit perut atau muntah', 'Weakness or fatigue|Kelemahan atau kelelahan']"
Kidney stones|Batu ginjal,"['Pink, red or brown urine|Urine berwarna merah muda, merah atau coklat', 'Cloudy or foul-smelling urine|Urine keruh atau berbau tidak sedap', 'Nausea and vomiting|Mual dan muntah', 'Fever and chills if an infection is present|Demam dan menggigil jika ada infeksi']"
Labyrinthitis|Labirinitis,"['dizziness|pusing', 'vertigo|vertigo', 'loss of balance|kehilangan keseimbangan', 'nausea and vomiting|mual dan muntah', 'difficulty focusing your eyes|kesulitan memfokuskan mata Anda']"
Lactose intolerance|Intoleransi laktosa,"['Diarrhea|Diare', 'Nausea, and sometimes, vomiting|Mual, dan terkadang, muntah', 'Stomach cramps|Keram perut', 'Bloating|Kembung', 'Gas|Gas']"
Langerhans cell histiocytosis|Histiositosis sel Langerhans,"['Loose teeth (when not expected) or swollen gums|Gigi tanggal (jika tidak diharapkan) atau gusi bengkak', 'Skin rash, such as on the scalp or buttocks|Ruam kulit, seperti di kulit kepala atau bokong']"
Laryngeal (larynx) cancer|Kanker laring (laring),"['a change in your voice, such as sounding hoarse|perubahan suara Anda, seperti terdengar parau', 'pain when swallowing or difficulty swallowing|nyeri saat menelan atau kesulitan menelan', 'a lump or swelling in your neck|benjolan atau bengkak di leher Anda', 'a long-lasting cough|batuk yang berlangsung lama', 'a persistent sore throat or earache|sakit tenggorokan atau sakit telinga yang terus-menerus', 'in severe cases, difficulty breathing|dalam kasus yang parah, kesulitan bernapas']"
Laryngitis|Radang tenggorokan,"['Hoarseness|Suara serak', 'Weak voice or voice loss|Suara lemah atau kehilangan suara', 'Tickling sensation and rawness in your throat|Sensasi menggelitik dan terasa kasar di tenggorokan Anda', 'Sore throat|Sakit tenggorokan', 'Dry throat|Tenggorokan kering', 'Dry cough|Batuk kering']"
Lichen planus|Rencana pribadi,"['Itching|Gatal', 'Blisters that break to form scabs or crusts|Lepuh yang pecah membentuk koreng atau kerak', 'Painful sores in the mouth or vagina|Luka yang menyakitkan di mulut atau vagina', 'Hair loss|Rambut rontok', 'Change in scalp color|Berubah warna kulit kepala']"
Liver cancer|Kanker hati,"['Losing weight without trying|Menurunkan berat badan tanpa berusaha', 'Loss of appetite|Kehilangan selera makan', 'Upper abdominal pain|Nyeri perut bagian atas', 'Nausea and vomiting|Mual dan muntah', 'General weakness and fatigue|Kelemahan dan kelelahan umum', 'Abdominal swelling|Pembengkakan perut', 'White, chalky stools|Kotoran putih berkapur', 'Weight loss (without trying)|Penurunan berat badan (tanpa mencoba)', 'Loss of appetite|Kehilangan selera makan', 'Feeling very full after a small meal|Merasa sangat kenyang setelah makan kecil', 'Nausea or vomiting|Mual atau muntah']"
Liver disease|Penyakit hati,"['Skin and eyes that appear yellowish (jaundice)|Kulit dan mata yang tampak kekuningan (ikterus)', 'Abdominal pain and swelling|Sakit perut dan bengkak', 'Swelling in the legs and ankles|Bengkak di tungkai dan pergelangan kaki', 'Itchy skin|Kulit yang gatal', 'Dark urine color|Warna urine gelap', 'Pale stool color|Warna feses pucat', 'Chronic fatigue|Kelelahan kronis', 'Nausea or vomiting|Mual atau muntah']"
Liver tumours|Tumor hati,"['Losing weight without trying|Menurunkan berat badan tanpa berusaha', 'Loss of appetite|Kehilangan selera makan', 'Upper abdominal pain|Nyeri perut bagian atas', 'Nausea and vomiting|Mual dan muntah', 'General weakness and fatigue|Kelemahan dan kelelahan umum', 'Abdominal swelling|Pembengkakan perut', 'White, chalky stools|Kotoran putih berkapur', 'Weight loss (without trying)|Penurunan berat badan (tanpa mencoba)', 'Loss of appetite|Kehilangan selera makan', 'Feeling very full after a small meal|Merasa sangat kenyang setelah makan kecil', 'Nausea or vomiting|Mual atau muntah']"
Lung cancer|Kanker paru-paru,"['A cough that does not go away or gets worse|Batuk yang tidak kunjung sembuh atau semakin parah', 'Hoarseness|Suara serak', 'Loss of appetite|Kehilangan selera makan', 'Unexplained weight loss|Penurunan berat badan yang tidak bisa dijelaskan', 'Shortness of breath|Sesak napas', 'Feeling tired or weak|Merasa lelah atau lemah']"
Lupus|Lupus,"['Pain or swelling in joints|Nyeri atau bengkak pada persendian', 'Muscle pain|Nyeri otot', 'Fever with no known cause|Demam tanpa penyebab yang diketahui', 'Chest pain when taking a deep breath|Nyeri dada saat menarik napas dalam', 'Hair loss|Rambut rontok', 'Pale or purple fingers or toes|Jari tangan atau kaki pucat atau ungu', 'Sensitivity to the sun|Sensitivitas terhadap sinar matahari']"
Lyme disease|Penyakit Lyme,"['Fever|Demam', 'Chills|Panas dingin', 'Headache|Sakit kepala', 'Fatigue|Kelelahan', 'Muscle and joint aches|Nyeri otot dan sendi', 'Swollen lymph nodes|Kelenjar getah bening membengkak']"
Lymphoedema|Limfedema,"['A feeling of heaviness or tightness|Perasaan berat atau sesak', 'Restricted range of motion|Rentang gerak yang dibatasi', 'Aching or discomfort|Sakit atau tidak nyaman', 'Recurring infections|Infeksi berulang', 'Hardening and thickening of the skin (fibrosis)|Pengerasan dan penebalan kulit (fibrosis)']"
Malaria|Malaria,"['fast heart rate|detak jantung cepat', 'headache|sakit kepala', 'mental confusion|kebingungan mental', 'or pallor|atau pucat']"
Malignant brain tumour (cancerous)|Tumor otak ganas (bersifat kanker),"['severe, persistent headaches|sakit kepala parah dan terus-menerus', 'seizures (fits)|kejang (pas)', 'persistent nausea, vomiting and drowsiness|mual terus menerus, muntah dan mengantuk']"
Malnutrition|Malnutrisi,"['reduced appetite|nafsu makan berkurang', 'lack of interest in food and drink|kurangnya minat pada makanan dan minuman', 'feeling tired all the time|merasa lelah sepanjang waktu', 'feeling weaker|merasa lebih lemah', 'wounds taking a long time to heal|luka membutuhkan waktu lama untuk sembuh', 'poor concentration|konsentrasi yang buruk', 'feeling cold most of the time|merasa kedinginan hampir sepanjang waktu']"
